Controller model: 3 3 0 -3 3 3 3 3 0 -3 3 3
time_step,drone_id,x,y,z
50.0,0,-0.8122044536891326,0.06364733853037984,145.8381962448584
50.0,1,-0.9192792329027724,0.7930326595874003,-112.1131452490831
50.0,2,-0.6998251795555892,-1.6002579017278318,51.15248551230883
50.5,0,-1.2969893488136677,-0.2399082956342813,147.19999427670857
50.5,1,0.17880665308086643,0.6508512316650762,-112.98942933499407
50.5,2,-0.051880621873402,-0.4299690747134009,51.447054549913446
51.0,0,-1.026232874991663,-0.7492602971067083,148.55931058513204
51.0,1,0.3991048006395063,1.739914608784923,-113.85977337404518
51.0,2,-1.1738423089120544,0.2994257567446281,51.738722614835204
51.5,0,-0.4945253680934511,-0.5132600673440975,149.916107512915
51.5,1,-0.67532928399722,2.0377507329152054,-114.72417675206171
51.5,2,-1.9810889620759857,-0.768538633409651,52.02751605126546
52.0,0,-0.6939606818546608,0.03843695103684281,151.2703470715179
52.0,1,-1.049718818822769,0.9835148132418252,-115.58263969475564
52.0,2,-0.9725243158559224,-1.6496439915029997,52.31346102937982
52.5,0,-1.2631367115054355,-0.12278529554950254,152.621990946477
52.5,1,-0.02118240896412618,0.5339596838829661,-116.43516326184908
52.5,2,-0.021928125270424387,-0.705586375885286,52.5965835445101
53.0,0,-1.1416037046685277,-0.7067961633919413,153.97100050313423
53.0,1,0.5017520002660795,1.531392199202015,-117.28174934073297
53.0,2,-0.8966925541855391,0.3097798347296899,52.876909416389445
53.5,0,-0.5455241066390207,-0.6262458575149319,155.31733679269956
53.5,1,-0.4592982827191782,2.12552799209019,-118.12240063967505
53.5,2,-1.9717786445228531,-0.49125073967484084,53.15446428847001
54.0,0,-0.5839908981530738,-0.020972977643176308,156.660960558651
54.0,1,-1.1220750374148434,1.2059836517265332,-118.95712068058967
54.0,2,-1.248554482831123,-1.62070253113852,53.429273627309705
54.5,0,-1.1954856689185356,-0.016457161158468722,158.00183224347577
54.5,1,-0.24897780656158963,0.4774977260250609,-119.78591379138305
54.5,2,-0.07036836788639461,-0.9789684609987986,53.70136272202686
55.0,0,-1.2436733244185951,-0.6311206312379745,159.33991199575715
55.0,1,0.5419273378328405,1.2994163196165074,-120.60878509788841
55.0,2,-0.6273363594399879,0.2420716540946195,53.97075668382071
55.5,0,-0.628961325130767,-0.7234523410634298,160.67515967760923
55.5,1,-0.22431685386780342,2.149107765475226,-121.42574051540414
55.5,2,-1.8851307304058496,-0.22727872293328566,54.23748044555522
56.0,0,-0.4922364684266949,-0.11186352799260606,162.0075348724625
56.0,1,-1.128835831926118,1.442772971799613,-122.2367867398508
56.0,2,-1.5058104320434074,-1.515538831478183,54.50155876140485
56.5,0,-1.0974948051804023,0.06927543586158195,163.336996893206
56.5,1,-0.486360918432261,0.4876921374465951,-123.04193123856138
56.5,2,-0.19353026401454887,-1.2282095965946753,54.763016206560216
57.0,0,-1.3228368384986064,-0.5264259899162375,164.66350479068393
57.0,1,0.5147298733540885,1.0626635532898454,-123.84118224071894
57.0,2,-0.38736906089886664,0.10152021471981626,55.02187717699148
57.5,0,-0.7399210952385773,-0.7955253760285599,165.98701736255168
57.5,1,0.010577879716108716,2.1049484984738434,-124.6345487274575
57.5,2,-1.7278864264728049,0.002201817502508783,55.278165889268216
58.0,0,-0.4277462134184861,-0.22860932394418434,167.30749316249157
58.0,1,-1.0678453479416055,1.6745849727430755,-125.42204042164266
58.0,2,-1.7236435436408624,-1.3423828821546242,55.53190638043343
58.5,0,-0.9754806318057503,0.12572284302214995,168.62489050979053
58.5,1,-0.7138750245192517,0.5652941640228366,-126.20366777734486
58.5,2,-0.38173601274228636,-1.4332927439020398,55.783122507930344
59.0,0,-1.3708165775365901,-0.39969748071884253,169.93916749927803
59.0,1,0.4208243373591461,0.8406464390370971,-126.97944196902299
59.0,2,-0.19607468587329924,-0.10079718313504199,56.031837949579966
59.5,0,-0.8707758937284487,-0.8346507470345705,171.2502820116268
59.5,1,0.22592143911519755,1.995134633317411,-127.7493748804328
59.5,2,-1.5124671245368309,0.1787376107780472,56.27807620360791
60.0,0,-0.3978210776596165,-0.36297097530549566,172.55819172401482
60.0,1,-0.9426037926291214,1.882107322337832,-128.51347909327657
60.0,2,-1.8845248674705184,-1.114937943266268,56.521860588718916
